symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2020-05-22 00:00:00+00:00,21.57,21.57,21.57,21.57,0,21.2838053646,21.2838053646,21.2838053646,21.2838053646,0,0.0,1.0
NASDX,2020-05-26 00:00:00+00:00,21.52,21.52,21.52,21.52,0,21.2344687736,21.2344687736,21.2344687736,21.2344687736,0,0.0,1.0
NASDX,2020-05-27 00:00:00+00:00,21.64,21.64,21.64,21.64,0,21.352876592,21.352876592,21.352876592,21.352876592,0,0.0,1.0
NASDX,2020-05-28 00:00:00+00:00,21.58,21.58,21.58,21.58,0,21.2936726828,21.2936726828,21.2936726828,21.2936726828,0,0.0,1.0
NASDX,2020-05-29 00:00:00+00:00,21.89,21.89,21.89,21.89,0,21.5995595471,21.5995595471,21.5995595471,21.5995595471,0,0.0,1.0
NASDX,2020-06-01 00:00:00+00:00,21.99,21.99,21.99,21.99,0,21.6982327291,21.6982327291,21.6982327291,21.6982327291,0,0.0,1.0
NASDX,2020-06-02 00:00:00+00:00,22.12,22.12,22.12,22.12,0,21.8265078658,21.8265078658,21.8265078658,21.8265078658,0,0.0,1.0
NASDX,2020-06-03 00:00:00+00:00,22.23,22.23,22.23,22.23,0,21.935048366,21.935048366,21.935048366,21.935048366,0,0.0,1.0
NASDX,2020-06-04 00:00:00+00:00,22.07,22.07,22.07,22.07,0,21.7771712748,21.7771712748,21.7771712748,21.7771712748,0,0.0,1.0
NASDX,2020-06-05 00:00:00+00:00,22.51,22.51,22.51,22.51,0,22.2113332757,22.2113332757,22.2113332757,22.2113332757,0,0.0,1.0
NASDX,2020-06-08 00:00:00+00:00,22.69,22.69,22.69,22.69,0,22.3889450034,22.3889450034,22.3889450034,22.3889450034,0,0.0,1.0
NASDX,2020-06-09 00:00:00+00:00,22.84,22.84,22.84,22.84,0,22.5369547764,22.5369547764,22.5369547764,22.5369547764,0,0.0,1.0
NASDX,2020-06-10 00:00:00+00:00,23.13,23.13,23.13,23.13,0,22.8231070043,22.8231070043,22.8231070043,22.8231070043,0,0.0,1.0
NASDX,2020-06-11 00:00:00+00:00,21.97,21.97,21.97,21.97,0,21.6784980927,21.6784980927,21.6784980927,21.6784980927,0,0.0,1.0
NASDX,2020-06-12 00:00:00+00:00,22.14,22.14,22.14,22.14,0,21.8462425022,21.8462425022,21.8462425022,21.8462425022,0,0.0,1.0
NASDX,2020-06-15 00:00:00+00:00,22.4,22.4,22.4,22.4,0,22.1027927755,22.1027927755,22.1027927755,22.1027927755,0,0.0,1.0
NASDX,2020-06-16 00:00:00+00:00,22.8,22.8,22.8,22.8,0,22.4974855036,22.4974855036,22.4974855036,22.4974855036,0,0.0,1.0
NASDX,2020-06-17 00:00:00+00:00,22.87,22.87,22.87,22.87,0,22.566556731,22.566556731,22.566556731,22.566556731,0,0.0,1.0
NASDX,2020-06-18 00:00:00+00:00,22.94,22.94,22.94,22.94,0,22.6356279585,22.6356279585,22.6356279585,22.6356279585,0,0.0,1.0
NASDX,2020-06-19 00:00:00+00:00,22.93,22.93,22.93,22.93,0,22.6257606402,22.6257606402,22.6257606402,22.6257606402,0,0.0,1.0
NASDX,2020-06-22 00:00:00+00:00,23.21,23.21,23.21,23.21,0,22.9020455499,22.9020455499,22.9020455499,22.9020455499,0,0.0,1.0
NASDX,2020-06-23 00:00:00+00:00,23.39,23.39,23.39,23.39,0,23.0796572776,23.0796572776,23.0796572776,23.0796572776,0,0.0,1.0
NASDX,2020-06-24 00:00:00+00:00,22.91,22.91,22.91,22.91,0,22.6060260038,22.6060260038,22.6060260038,22.6060260038,0,0.0,1.0
NASDX,2020-06-25 00:00:00+00:00,23.13,23.13,23.13,23.13,0,22.8231070043,22.8231070043,22.8231070043,22.8231070043,0,0.0,1.0
NASDX,2020-06-26 00:00:00+00:00,22.55,22.55,22.55,22.55,0,22.2508025485,22.2508025485,22.2508025485,22.2508025485,0,0.0,1.0
NASDX,2020-06-29 00:00:00+00:00,22.81,22.81,22.81,22.81,0,22.5073528218,22.5073528218,22.5073528218,22.5073528218,0,0.0,1.0
NASDX,2020-06-30 00:00:00+00:00,23.26,23.26,23.26,23.26,0,22.9551317219,22.9551317219,22.9551317219,22.9551317219,0,0.0038,1.0
NASDX,2020-07-01 00:00:00+00:00,23.54,23.54,23.54,23.54,0,23.2314617684,23.2314617684,23.2314617684,23.2314617684,0,0.0,1.0
NASDX,2020-07-02 00:00:00+00:00,23.68,23.68,23.68,23.68,0,23.3696267917,23.3696267917,23.3696267917,23.3696267917,0,0.0,1.0
NASDX,2020-07-06 00:00:00+00:00,24.28,24.28,24.28,24.28,0,23.9617626056,23.9617626056,23.9617626056,23.9617626056,0,0.0,1.0
NASDX,2020-07-07 00:00:00+00:00,24.1,24.1,24.1,24.1,0,23.7841218614,23.7841218614,23.7841218614,23.7841218614,0,0.0,1.0
NASDX,2020-07-08 00:00:00+00:00,24.42,24.42,24.42,24.42,0,24.0999276289,24.0999276289,24.0999276289,24.0999276289,0,0.0,1.0
NASDX,2020-07-09 00:00:00+00:00,24.62,24.62,24.62,24.62,0,24.2973062336,24.2973062336,24.2973062336,24.2973062336,0,0.0,1.0
NASDX,2020-07-10 00:00:00+00:00,24.81,24.81,24.81,24.81,0,24.484815908,24.484815908,24.484815908,24.484815908,0,0.0,1.0
NASDX,2020-07-13 00:00:00+00:00,24.28,24.28,24.28,24.28,0,23.9617626056,23.9617626056,23.9617626056,23.9617626056,0,0.0,1.0
NASDX,2020-07-14 00:00:00+00:00,24.47,24.47,24.47,24.47,0,24.1492722801,24.1492722801,24.1492722801,24.1492722801,0,0.0,1.0
NASDX,2020-07-15 00:00:00+00:00,24.51,24.51,24.51,24.51,0,24.188748001,24.188748001,24.188748001,24.188748001,0,0.0,1.0
NASDX,2020-07-16 00:00:00+00:00,24.33,24.33,24.33,24.33,0,24.0111072568,24.0111072568,24.0111072568,24.0111072568,0,0.0,1.0
NASDX,2020-07-17 00:00:00+00:00,24.38,24.38,24.38,24.38,0,24.060451908,24.060451908,24.060451908,24.060451908,0,0.0,1.0
NASDX,2020-07-20 00:00:00+00:00,25.09,25.09,25.09,25.09,0,24.7611459545,24.7611459545,24.7611459545,24.7611459545,0,0.0,1.0
